step,loss_function,target_value,elapsed_time
0,5.39418e-02,3.26080e-01,0
100,3.44411e-02,2.78099e-01,13
200,2.31878e-02,2.35126e-01,26
300,1.58378e-02,1.97588e-01,39
400,9.66999e-03,1.65539e-01,52
500,6.76427e-03,1.38360e-01,65
600,6.04422e-03,1.15831e-01,78
700,4.32909e-03,9.79632e-02,92
800,4.50971e-03,8.42173e-02,105
900,3.48606e-03,7.42119e-02,118
1000,3.63141e-03,6.66798e-02,131
1100,3.00041e-03,6.09193e-02,144
1200,3.87503e-03,5.73990e-02,157
1300,2.88035e-03,5.50455e-02,170
1400,3.58197e-03,5.41830e-02,183
1500,3.43098e-03,5.44178e-02,196
1600,3.31472e-03,5.32332e-02,209
1700,3.04519e-03,5.22913e-02,223
1800,3.61448e-03,5.29079e-02,236
1900,4.06360e-03,5.27411e-02,249
2000,2.80823e-03,5.29730e-02,262
2100,3.39954e-03,5.13978e-02,275
2200,3.80409e-03,5.22298e-02,288
2300,4.08157e-03,5.20794e-02,301
2400,3.93781e-03,5.21230e-02,315
2500,3.23211e-03,5.20974e-02,328
2600,3.28405e-03,5.37664e-02,342
2700,3.89592e-03,5.27176e-02,355
2800,3.16535e-03,5.19796e-02,368
2900,3.55510e-03,5.14435e-02,382
3000,3.41030e-03,5.23272e-02,395
3100,3.02276e-03,5.29629e-02,409
3200,4.09172e-03,5.16499e-02,422
3300,3.32843e-03,5.28555e-02,435
3400,3.21832e-03,5.10399e-02,448
3500,3.13571e-03,5.17579e-02,461
3600,3.32771e-03,5.34426e-02,475
3700,3.44333e-03,5.26195e-02,488
3800,3.02391e-03,5.36960e-02,502
3900,3.37896e-03,5.22397e-02,515
4000,3.35890e-03,5.15655e-02,528
